Filename,Model,Dataset,Scale,PSNR,LPIPS,MS_SSIM,NIQE
0001.png,SRCNN,DIV2K,x2,34.90094008164794,0.0722784548997879,0.9969296455383301,4.219191171780389
0002.png,SRCNN,DIV2K,x2,38.7427617038376,0.035377904772758484,0.9955441355705261,5.544028511175956
0003.png,SRCNN,DIV2K,x2,41.62721849194257,0.010443161241710186,0.9973001480102539,6.300174229269109
0004.png,SRCNN,DIV2K,x2,31.660431607266894,0.11755886673927307,0.9936994910240173,4.213068670911294
0005.png,SRCNN,DIV2K,x2,33.069723632998496,0.20061837136745453,0.9935246706008911,4.493207551571343
0006.png,SRCNN,DIV2K,x2,32.53136001696897,0.06990960240364075,0.9943584203720093,4.2000176377081715
0007.png,SRCNN,DIV2K,x2,23.118711014431646,0.2443990856409073,0.9795372486114502,4.964022843807231
0008.png,SRCNN,DIV2K,x2,30.036763927626655,0.14296284317970276,0.9914684295654297,4.2694820197756025
0009.png,SRCNN,DIV2K,x2,38.324487828262654,0.05853528901934624,0.9974993467330933,4.627111213216349
0010.png,SRCNN,DIV2K,x2,32.03040503717975,0.10995426028966904,0.9944881796836853,4.660353917191986
0011.png,SRCNN,DIV2K,x2,33.690110182155365,0.15598392486572266,0.993893563747406,3.9998760680953884
0012.png,SRCNN,DIV2K,x2,32.19711793491395,0.09998808801174164,0.9940773844718933,4.02723696328259
0013.png,SRCNN,DIV2K,x2,35.315367604620164,0.09946049004793167,0.9950243830680847,4.364863920214746
0014.png,SRCNN,DIV2K,x2,32.628832287115685,0.07146430015563965,0.9955196380615234,4.970573253427955
0015.png,SRCNN,DIV2K,x2,37.28498220848519,0.05839364230632782,0.9962418079376221,4.557267838036807
0016.png,SRCNN,DIV2K,x2,35.686431136145686,0.1348447948694229,0.9948338270187378,4.607558783559243
0017.png,SRCNN,DIV2K,x2,35.935192155876244,0.0885225161910057,0.9952442646026611,4.143132686529375
0018.png,SRCNN,DIV2K,x2,33.93874524562253,0.05070975050330162,0.996281623840332,4.239015933577953
0019.png,SRCNN,DIV2K,x2,32.91434677116513,0.0843048170208931,0.9959609508514404,3.93821012420799
0020.png,SRCNN,DIV2K,x2,29.881389453797635,0.07933276146650314,0.994976282119751,4.133514569247751
0021.png,SRCNN,DIV2K,x2,34.72071138637914,0.01876041665673256,0.9963501691818237,4.7917722210864
0022.png,SRCNN,DIV2K,x2,35.075723597851095,0.05750861018896103,0.9966999888420105,4.079746622063888
0023.png,SRCNN,DIV2K,x2,29.549786578720294,0.11465607583522797,0.9920854568481445,4.4805239871374125
0024.png,SRCNN,DIV2K,x2,31.61411146890194,0.07863540947437286,0.9952843189239502,4.410705984245411
0025.png,SRCNN,DIV2K,x2,31.72524116125578,0.1139831617474556,0.9950453042984009,4.271130414301262
0026.png,SRCNN,DIV2K,x2,27.44888382604973,0.15036548674106598,0.9890629053115845,4.287460366400792
0027.png,SRCNN,DIV2K,x2,37.0394826037704,0.13144297897815704,0.9946693181991577,4.766791256873615
0028.png,SRCNN,DIV2K,x2,25.10995596881074,0.025943834334611893,0.9939899444580078,4.958186264581118
0029.png,SRCNN,DIV2K,x2,28.472440088398297,0.3107999265193939,0.9741334915161133,4.774197651384924
0030.png,SRCNN,DIV2K,x2,27.88135327223948,0.20003357529640198,0.9895808100700378,4.601819552392804
0031.png,SRCNN,DIV2K,x2,34.89528198391813,0.05711101368069649,0.9962300062179565,4.114388135883346
0032.png,SRCNN,DIV2K,x2,36.48879665782775,0.052360568195581436,0.9965607523918152,4.131442678948265
0033.png,SRCNN,DIV2K,x2,37.667691868566166,0.10992732644081116,0.9957531690597534,5.442439396562261
0034.png,SRCNN,DIV2K,x2,29.357136840168643,0.12737715244293213,0.9933432936668396,4.154644980048305
0035.png,SRCNN,DIV2K,x2,26.357889649964378,0.23863378167152405,0.9879009127616882,4.41297923312966
0036.png,SRCNN,DIV2K,x2,29.655258355917667,0.1044229120016098,0.9929221868515015,4.718870575444934
0037.png,SRCNN,DIV2K,x2,30.68628971488878,0.08580208569765091,0.9954487085342407,4.00779519631572
0038.png,SRCNN,DIV2K,x2,39.85925022402121,0.11890480667352676,0.995216965675354,5.539043816582475
0039.png,SRCNN,DIV2K,x2,32.62736257394949,0.15418179333209991,0.9948925971984863,3.923830346822998
0040.png,SRCNN,DIV2K,x2,33.121841860964416,0.09332669526338577,0.9958196878433228,3.739747086507461
0041.png,SRCNN,DIV2K,x2,32.939054641609175,0.08576899021863937,0.9951778650283813,4.115435310428363
0042.png,SRCNN,DIV2K,x2,34.00407420909829,0.07981428503990173,0.9954615831375122,3.9851812374819686
0043.png,SRCNN,DIV2K,x2,43.211615798673904,0.019023412838578224,0.9989334940910339,6.7625112096591184
0044.png,SRCNN,DIV2K,x2,42.89233091652947,0.011766158044338226,0.9973481893539429,6.358920497526777
0045.png,SRCNN,DIV2K,x2,27.581747676536445,0.14185820519924164,0.9906930923461914,4.897609689872157
0046.png,SRCNN,DIV2K,x2,28.80327940497977,0.12078246474266052,0.9909704923629761,4.309986094610579
0047.png,SRCNN,DIV2K,x2,32.110005398216785,0.07372374832630157,0.9949661493301392,4.092228488599547
0048.png,SRCNN,DIV2K,x2,30.176060504113018,0.17177549004554749,0.9882450103759766,4.909313562112149
0049.png,SRCNN,DIV2K,x2,26.702580189438017,0.11642603576183319,0.9940289855003357,4.426738854718842
0050.png,SRCNN,DIV2K,x2,32.48034414704293,0.11924650520086288,0.9941407442092896,4.487196847527778
0051.png,SRCNN,DIV2K,x2,33.29467080852001,0.05442885309457779,0.9929315447807312,4.906880610164218
0052.png,SRCNN,DIV2K,x2,33.86612373898821,0.07980339974164963,0.9919525384902954,4.4979418268255085
0053.png,SRCNN,DIV2K,x2,38.534445768906565,0.045049019157886505,0.9961408376693726,5.05412025333443
0054.png,SRCNN,DIV2K,x2,28.391366295653565,0.15497225522994995,0.9908418655395508,4.27775018410485
0055.png,SRCNN,DIV2K,x2,32.90303912667588,0.22907862067222595,0.9895542860031128,4.510051659857052
0056.png,SRCNN,DIV2K,x2,28.92682737438249,0.14436180889606476,0.9908418655395508,4.482012360143521
0057.png,SRCNN,DIV2K,x2,35.2947079812925,0.24119900166988373,0.9865951538085938,7.626350629223137
0058.png,SRCNN,DIV2K,x2,32.63100930739935,0.10974446684122086,0.9924675226211548,3.946774589595716
0059.png,SRCNN,DIV2K,x2,29.597323909610115,0.1756919026374817,0.9913353323936462,4.572218034174112
0060.png,SRCNN,DIV2K,x2,24.958777476272633,0.20991066098213196,0.9916166067123413,3.904029160486199
0061.png,SRCNN,DIV2K,x2,26.776662829355455,0.12117443978786469,0.9913074970245361,4.55843834631029
0062.png,SRCNN,DIV2K,x2,35.681960774830905,0.17182707786560059,0.991677463054657,5.143182698886476
0063.png,SRCNN,DIV2K,x2,36.20804582929527,0.06326152384281158,0.9956280589103699,4.638511817724123
0064.png,SRCNN,DIV2K,x2,33.96385956191099,0.1700161248445511,0.9942635893821716,4.305631248043526
0065.png,SRCNN,DIV2K,x2,30.34791173127865,0.197689488530159,0.991458535194397,4.53209324214043
0066.png,SRCNN,DIV2K,x2,28.706084829261588,0.13438670337200165,0.9944528341293335,4.244884020361382
0067.png,SRCNN,DIV2K,x2,32.818868693694355,0.07961790263652802,0.994988203048706,4.505576140637146
0068.png,SRCNN,DIV2K,x2,36.72409618583273,0.02328738011419773,0.9983364939689636,5.2040640806345735
0069.png,SRCNN,DIV2K,x2,27.68914812979668,0.0969705656170845,0.9939063787460327,3.857576662780644
0070.png,SRCNN,DIV2K,x2,34.47239892300156,0.06929583847522736,0.9969590902328491,4.1688636656424505
0071.png,SRCNN,DIV2K,x2,36.146256499026855,0.058591537177562714,0.9965812563896179,4.30193160273526
0072.png,SRCNN,DIV2K,x2,28.123877311880552,0.15193837881088257,0.9922565221786499,4.184009418069714
0073.png,SRCNN,DIV2K,x2,27.633422392943228,0.1663275957107544,0.991135835647583,4.413559126045041
0074.png,SRCNN,DIV2K,x2,33.684234873160044,0.16844522953033447,0.9935223460197449,4.6809908288824715
0075.png,SRCNN,DIV2K,x2,28.439723480649526,0.17001581192016602,0.9909316897392273,5.20699667709261
0076.png,SRCNN,DIV2K,x2,25.31239108741479,0.2089763581752777,0.9858745336532593,4.228468589637609
0077.png,SRCNN,DIV2K,x2,42.56108989238847,0.02447817102074623,0.9967880249023438,6.857787133185571
0078.png,SRCNN,DIV2K,x2,36.77100396817837,0.07958698272705078,0.9967504739761353,4.51341625881576
0079.png,SRCNN,DIV2K,x2,31.434021733302167,0.07674822211265564,0.9943806529045105,4.743132065853998
0080.png,SRCNN,DIV2K,x2,36.47953438273218,0.06563068926334381,0.9958043098449707,4.191402746547114
0081.png,SRCNN,DIV2K,x2,29.7095203864688,0.1640346497297287,0.9919161200523376,4.899642988695174
0082.png,SRCNN,DIV2K,x2,37.092280061831495,0.020785529166460037,0.996975839138031,5.348927371453042
0083.png,SRCNN,DIV2K,x2,32.75536314587868,0.05762351304292679,0.9949048757553101,5.019157268468038
0084.png,SRCNN,DIV2K,x2,29.601835381294883,0.16250306367874146,0.9921690225601196,4.309067083213142
0085.png,SRCNN,DIV2K,x2,26.051145204458965,0.2486218810081482,0.985369861125946,5.0575827821625525
0086.png,SRCNN,DIV2K,x2,38.85229299162706,0.09380502998828888,0.9945566654205322,5.923783418051309
0087.png,SRCNN,DIV2K,x2,29.015540748039818,0.11413034796714783,0.9887012839317322,4.645503041648368
0088.png,SRCNN,DIV2K,x2,33.79759499851872,0.07113952934741974,0.9954681396484375,4.432454274428501
0089.png,SRCNN,DIV2K,x2,35.97868195732518,0.04011037200689316,0.9975955486297607,4.4739540812621374
0090.png,SRCNN,DIV2K,x2,27.840202644413417,0.22407332062721252,0.9888406991958618,5.02159653013568
0091.png,SRCNN,DIV2K,x2,29.85770240463043,0.09551073610782623,0.9927116632461548,4.688621965066695
0092.png,SRCNN,DIV2K,x2,33.970472819437745,0.04445779323577881,0.9967794418334961,5.524466825514456
0093.png,SRCNN,DIV2K,x2,35.221644222727214,0.19494777917861938,0.9907001852989197,5.500721302036363
0094.png,SRCNN,DIV2K,x2,35.76755082784773,0.05940255522727966,0.9959841966629028,4.208836173702926
0095.png,SRCNN,DIV2K,x2,24.212068909912933,0.23793530464172363,0.9887360334396362,4.721863116470008
0096.png,SRCNN,DIV2K,x2,40.62149416325568,0.05844217166304588,0.995400607585907,5.977657544304084
0097.png,SRCNN,DIV2K,x2,26.27454244127575,0.11821065843105316,0.9927197694778442,5.777223792760872
0098.png,SRCNN,DIV2K,x2,38.05137831661255,0.07325083762407303,0.9945802092552185,6.374116690975386
0099.png,SRCNN,DIV2K,x2,34.26944284544133,0.027584047988057137,0.9957139492034912,5.528565766521474
0100.png,SRCNN,DIV2K,x2,31.86046582330155,0.06519562005996704,0.9913816452026367,4.231396178580519
0001.png,SRCNN,DIV2K,x4,28.483509632549733,0.28672462701797485,0.9654561877250671,6.744358055744748
0002.png,SRCNN,DIV2K,x4,33.580925642821164,0.14138810336589813,0.9747492074966431,7.202277375055272
0003.png,SRCNN,DIV2K,x4,35.36437561430244,0.08817823976278305,0.9881223440170288,6.8584938771093835
0004.png,SRCNN,DIV2K,x4,26.28258634042975,0.35461562871932983,0.9513213038444519,6.336795262842982
0005.png,SRCNN,DIV2K,x4,28.083012316631763,0.4703608453273773,0.9567859172821045,6.720449028645939
0006.png,SRCNN,DIV2K,x4,26.92636589506165,0.257816880941391,0.9632636904716492,6.152238622559777
0007.png,SRCNN,DIV2K,x4,19.733421036571844,0.5986799001693726,0.875407874584198,6.259182742937848
0008.png,SRCNN,DIV2K,x4,26.069468703051378,0.34455400705337524,0.9537574648857117,5.602268708577102
0009.png,SRCNN,DIV2K,x4,31.228865247435063,0.27039527893066406,0.9677154421806335,6.9362038657351786
0010.png,SRCNN,DIV2K,x4,26.26981268701952,0.43656250834465027,0.947047233581543,6.51208900653724
0011.png,SRCNN,DIV2K,x4,28.51195474418546,0.4306613802909851,0.9531168341636658,6.788001218277892
0012.png,SRCNN,DIV2K,x4,26.533983557350677,0.34385013580322266,0.9517731666564941,6.258934117770898
0013.png,SRCNN,DIV2K,x4,29.981133670219542,0.26180291175842285,0.9750584959983826,6.273027136495985
0014.png,SRCNN,DIV2K,x4,27.113824277949075,0.2068185657262802,0.971602201461792,6.55874214287788
0015.png,SRCNN,DIV2K,x4,32.288294555526335,0.21925941109657288,0.9824773073196411,6.708794522829439
0016.png,SRCNN,DIV2K,x4,30.39655787811742,0.3619304299354553,0.9633199572563171,6.457961257012394
0017.png,SRCNN,DIV2K,x4,30.59767898069556,0.2854343056678772,0.9739710092544556,6.322283531511095
0018.png,SRCNN,DIV2K,x4,27.554832634271513,0.23266562819480896,0.9740002155303955,6.098112363815847
0019.png,SRCNN,DIV2K,x4,27.117421679701028,0.2994915843009949,0.9558442831039429,6.4327558439822035
0020.png,SRCNN,DIV2K,x4,23.15530286602526,0.33846861124038696,0.9441401362419128,6.090227799236684
0021.png,SRCNN,DIV2K,x4,27.48211536822423,0.1013660579919815,0.9728755354881287,5.92660119029142
0022.png,SRCNN,DIV2K,x4,28.960711717985102,0.24416999518871307,0.9663752317428589,6.53475204040937
0023.png,SRCNN,DIV2K,x4,24.97216503094164,0.32913315296173096,0.9537954330444336,6.317760426433156
0024.png,SRCNN,DIV2K,x4,26.502017694423493,0.2833993434906006,0.9722074270248413,6.296067400631481
0025.png,SRCNN,DIV2K,x4,25.915605234333764,0.3601035475730896,0.9565980434417725,6.283305617460321
0026.png,SRCNN,DIV2K,x4,23.49602949641843,0.39563441276550293,0.9365882277488708,6.2824696508900235
0027.png,SRCNN,DIV2K,x4,31.261189180665937,0.3837946355342865,0.9678784608840942,6.733323982578396
0028.png,SRCNN,DIV2K,x4,17.821034121682953,0.23239365220069885,0.9387299418449402,5.853111624786367
0029.png,SRCNN,DIV2K,x4,26.224875334844242,0.6191121935844421,0.9155613780021667,6.368510493875581
0030.png,SRCNN,DIV2K,x4,24.015801381782392,0.432573527097702,0.9314554929733276,6.381403332283325
0031.png,SRCNN,DIV2K,x4,28.05460619980842,0.28196343779563904,0.9605082869529724,6.048573862179926
0032.png,SRCNN,DIV2K,x4,28.889852751514205,0.2308722585439682,0.9680549502372742,6.211053719098383
0033.png,SRCNN,DIV2K,x4,31.58371561829185,0.3555343449115753,0.9780012965202332,6.629831140304506
0034.png,SRCNN,DIV2K,x4,24.90838077482674,0.342944860458374,0.9465877413749695,6.298677739890151
0035.png,SRCNN,DIV2K,x4,22.55219562768862,0.5639286041259766,0.9057083129882812,7.206538333113152
0036.png,SRCNN,DIV2K,x4,24.098935945386152,0.3343650996685028,0.9416295886039734,6.341351975414418
0037.png,SRCNN,DIV2K,x4,24.825362599971854,0.34898611903190613,0.9547991156578064,6.13412711141016
0038.png,SRCNN,DIV2K,x4,36.38011542299596,0.3220537304878235,0.9819318652153015,7.187980776022727
0039.png,SRCNN,DIV2K,x4,28.62485841312363,0.3358175456523895,0.9669548273086548,7.487066395604079
0040.png,SRCNN,DIV2K,x4,27.70960616428475,0.35095274448394775,0.9617863893508911,6.504040889374291
0041.png,SRCNN,DIV2K,x4,26.965453922460423,0.32069212198257446,0.9636737704277039,6.126141108298886
0042.png,SRCNN,DIV2K,x4,28.989865287828756,0.2437720149755478,0.9679738879203796,6.430898069703349
0043.png,SRCNN,DIV2K,x4,38.75572453272313,0.06322132050991058,0.9962679743766785,7.07183975034003
0044.png,SRCNN,DIV2K,x4,38.79458246348602,0.04294794797897339,0.994076132774353,7.225557613462944
0045.png,SRCNN,DIV2K,x4,22.393660815222503,0.440481036901474,0.9430596828460693,5.895683716233864
0046.png,SRCNN,DIV2K,x4,23.061837236075675,0.3256322145462036,0.9448630213737488,6.036387300958931
0047.png,SRCNN,DIV2K,x4,26.212371864885217,0.28864777088165283,0.9532989859580994,5.820131843678206
0048.png,SRCNN,DIV2K,x4,25.935708965823643,0.41690176725387573,0.9464359283447266,5.998198069174458
0049.png,SRCNN,DIV2K,x4,20.672199462661744,0.44449275732040405,0.9383403658866882,6.349977113603505
0050.png,SRCNN,DIV2K,x4,27.517740077404724,0.3728053569793701,0.9581226706504822,6.308932177046935
0051.png,SRCNN,DIV2K,x4,27.301918386561233,0.2370234727859497,0.9694351553916931,5.966438846213743
0052.png,SRCNN,DIV2K,x4,29.303278272956035,0.3202139437198639,0.9556138515472412,6.8397659114982154
0053.png,SRCNN,DIV2K,x4,31.995269752352918,0.17452313005924225,0.9791320562362671,6.197733530335398
0054.png,SRCNN,DIV2K,x4,24.14042646867989,0.3883240520954132,0.9427105784416199,6.419660055157263
0055.png,SRCNN,DIV2K,x4,28.641026755409406,0.5370691418647766,0.950319766998291,6.487076316550629
